Characteristic,Number of Facebook interactions in millions
2014 FIFA World Cup (Jun 12-Jul13),3000
"2016 Rio Olympic Games (Aug 5-21, 2016)",1500
2015 Cricket World Cup (Jan 1-Mar 29),700
2014 Presidential Election in Brazil,674
2015 Carnival in Brazil (Feb13-Feb 17),534
"2014 FIFA World Cup (first week of tournament, June 12-18)",459
Indian Premier League 10 (IPL 10) Apr-May 2017,350
2015 Indian Premier League (IPL) Season 8 (Apr 1-May 8),312
"2015 Copa América (Jun 1-Jul 4, 2015)",309
"Super Bowl XLIX (Feb 1, 2015)",265
"Super Bowl XLVIII (Feb 2, 2014)",185
"NBA Finals (June 4-16, 2015)",173
2016 World Series (Oct 25 - Nov 2),150
2014 Sochi Winter Olympics,120
"Mayweather vs. Pacquiao (May 2, 2015)",115
2014 FIFA World Cup Final - Argentina vs. Germany (Jul 13),88
2015 NCAA Tournament (Mar 15-Apr 6),76
"2015 UEFA Champions League Final (Jun 6, 2015)",76
"88th Academy Awards (Feb 24, 2016)",67
2014 FIFA World Cup Semi-final - Brazil vs. Germany (Jul 8),66
