Industry and class of worker,Unemployment rate
Leisure and hospitality,10.1%
"Mining, quarrying, and oil and gas extraction",9.6%
Agriculture and related private wage and salary workers,8.4%
Transportation and utilities,7.2%
Construction,6.7%
Wholesale and retail trade,6.6%
Information,5.8%
Total,5.5%
Professional and business services,5.4%
Other services,5.3%
"Self-employed workers, unincorporated, and unpaid family workers",5.3%
Manufacturing,4.8%
Education and health services,3.4%
Financial activities,3%
Government workers,2.2%
