Characteristic,Number of World Series won
New York Yankees,27
St. Louis Cardinals,11
Boston Red Sox,9
Los Angeles Dodgers,7
New York Giants,5
Philadelphia Athletics,5
Pittsburgh Pirates,5
Cincinnati Reds,5
Detroit Tigers,4
Oakland Athletics,4
Baltimore Orioles,3
Chicago White Sox,3
San Francisco Giants,3
Chicago Cubs,3
Cleveland Indians,2
Florida Marlins,2
Minnesota Twins,2
New York Mets,2
Philadelphia Phillies,2
Toronto Blue Jays,2
Kansas City Royals,2
Houston Astros,1
Anaheim Angels,1
Arizona Diamondbacks,1
Atlanta Braves,1
Boston Braves,1
Brooklyn Dodgers,1
Milwaukee Braves,1
Washington Senators,1
Washington Nationals,1
