Characteristic,Situation A,Situation B
Luiz Inácio Lula da Silva (PT),39%,-
Jair Bolsonaro (PSL),19%,-
Marina Silva (REDE),8%,-
Geraldo Alckmin (PSDB),6%,-
Ciro Gomes (PDT),5%,-
Alvaro Dias (PODE),3%,-
João Amoedo (NOVO),2%,-
Henrique Meirelles (MDB),1%,-
Guilherme Boulos (PSOL),1%,-
Cabo Daciolo (PATRI),1%,-
Vera Lúcia (PSTU),1%,-
João Goulart Filho (PPL),0%,-
José Maria Eymael (DC),0%,-
Blank or voided ballots / No vote,11%,-
Do not know,3%,-
Jair Bolsonaro,-,22%
Marina Silva,-,16%
Ciro Gomes,-,10%
Geraldo Alckmin,-,9%
Alvaro Dias,-,4%
Fernando Haddad (PT),-,4%
João Amoedo,-,2%
Henrique Meirelles,-,2%
Vera Lúcia,-,1%
Cabo Daciolo,-,1%
Guilherme Boulos,-,1%
João Goulart Filho,-,1%
José Maria Eymael,-,0%
Blank or voided ballots/No vote,-,22%
Don't know,-,6%
