Characteristic,GDP in billion U.S. dollars
2026*,6533.02
2025*,6351.1
2024*,6170.37
2023*,5977.36
2022*,5653.46
2021*,5378.14
2020,5048.69
2019,5148.78
2018,5036.89
2017,4930.84
2016,5003.68
2015,4389.48
2014,4850.41
2013,5155.72
2012,6203.21
2011,6157.46
2010,5700.1
2009,5231.38
2008,5037.91
2007,4515.26
2006,4530.38
2005,4755.41
2004,4815.17
2003,4445.66
2002,4115.12
2001,4303.54
2000,4887.52
1999,4562.08
1998,4032.51
1997,4414.73
1996,4833.71
1995,5449.12
1994,4907.04
1993,4454.14
1992,3908.81
1991,3584.42
1990,3132.82
1989,3054.91
1988,3071.68
1987,2532.81
1986,2078.95
