Characteristic,Revenue in million U.S. dollars
Q1 '21,232.1
Q4 '20,233.2
Q3 '20,220.81
Q2 '20,169.03
Q1 '20,249.9
Q4 '19,268.82
Q3 '19,262.47
Q2 '19,246.96
Q1 '19,235.94
Q4 '18,243.74
Q3 '18,241.1
Q2 '18,234.86
Q1 '18,223.07
Q4 '17,219.44
Q3 '17,223.3
Q2 '17,209.9
Q1 '17,198.2
Q4 '16,194.8
Q3 '16,186.2
Q2 '16,173.4
Q1 '16,158.61
Q4 '15,153.73
Q3 '15,143.6
Q2 '15,133.9
Q1 '15,118.5
Q4 '14,109.9
Q3 '14,102.5
Q2 '14,88.8
Q1 '14,76.41
Q4 '13,70.7
Q3 '13,61.18
Q2 '13,55.0
Q1 '13,46.1
Q4 '12,41.16
Q3 '12,36.4
Q2 '12,32.65
Q1 '12,27.39
Q4 '11,24.91
Q3 '11,22.3
Q2 '11,19.58
Q1 '11,16.5
Q4 '10,15.27
Q3 '10,12.59
Q2 '10,10.73
Q1 '10,9.14
