Characteristic,MRI units per million population
Japan,55.21
United States,40.44
Germany,34.71
Korea,30.08
Greece,29.35
Finland,28.82
Italy,28.73
Austria,23.53
Iceland,19.61
Spain,17.2
Ireland,16.03
New Zealand,15.44
France,15.43
Australia,14.78
Luxembourg,14.52
Estonia,13.62
Latvia,13.49
Netherlands,13.06
Slovenia,12.49
Lithuania,12.49
Chile,12.27
Belgium,11.61
Turkey,11.24
Czech Republic,10.35
Canada,10.35
Slovak Republic,9.55
Poland,9.22
Israel,5.18
Hungary,4.91
Mexico,2.65
Colombia,0.24
