Characteristic,Revenue in million U.S. dollars
Q1 2021,329.08
Q4 2020,315.8
Q3 2020,300.95
Q2 2020,293.19
Q1 2020,285.43
Q4 2019,275.28
Q3 2019,267.3
Q2 2019,270.46
Q1 2019,270.81
Q4 2018,263.55
Q3 2018,257.8
Q2 2018,260.63
Q1 2018,260.59
Q4 2017,269.38
Q3 2017,246.64
Q2 2017,250.04
Q1 2017,242.38
Q4 2016,225.97
Q3 2016,217.1
Q2 2016,219.48
Q1 2016,217.99
Q4 2015,215.16
Q3 2015,210.71
Q2 2015,213.13
Q1 2015,212.79
Q4 2014,210.56
Q3 2014,206.73
Q2 2014,209.82
Q1 2014,209.72
Q4 2013,207.67
Q3 2013,204.16
Q2 2013,206.97
Q1 2013,205.48
Q4 2012,216.12
Q3 2012,194.74
Q2 2012,194.21
Q1 2012,189.97
