Characteristic,Gross domestic product in billion U.S. dollars
2026*,26.24
2025*,25.5
2024*,24.79
2023*,24.09
2022*,23.28
2021*,22.16
2020*,21.53
2019,23.21
2018,23.68
2017,22.39
2016,22.39
2015,25.06
2014,27.62
2013,27.27
2012,25.76
2011,25.79
2010,22.52
2009,19.56
2008,28.23
2007,22.01
2006,18.6
2005,16.17
2004,13.47
2003,11.46
2002,9.15
2001,8.96
2000,8.3
1999,6.93
1998,6.15
1997,5.84
1996,5.86
1995,5.42
1994,5.03
1993,4.66
1992,5.53
1991,5.4
1990,5.16
1989,4.4
1988,4.57
1987,4.88
1986,4.88
