Characteristic,Units sold
May '21,418
Apr '21,510
Mar '21,488
Feb '21,236
Jan '21,310
Dec '20,1875
Nov '20,675
Oct '20,1100
Sep '20,1199
Aug '20,705
Jul '20,1163
Jun '20,1224
May '20,634
Apr '20,177
Mar '20,553
Feb '20,425
Jan '20,492
Dec '19,297
Nov '19,506
Oct '19,668
Sep '19,779
Aug '19,574
Jul '19,660
Jun '19,619
May '19,596
Apr '19,559
Mar '19,668
Feb '19,343
Jan '19,359
Dec '18,283
Nov '18,391
Oct '18,452
Sep '18,582
Aug '18,462
Jul '18,380
Jun '18,412
May '18,409
Apr '18,334
Mar '18,327
Feb '18,233
Jan '18,274
