Characteristic,Sales in million Canadian dollars
Q3 2020,832.71
Q2 2020,453.54
Q1 2020,525.87
Q4 2019,1043.86
Q3 2019,929.32
Q2 2019,749.02
Q1 2019,631.17
Q4 2018,1042.86
Q3 2018,949.58
Q2 2018,767.78
Q1 2018,640.07
Q4 2017,1081.83
Q3 2017,945.23
Q2 2017,779.13
Q1 2017,648.62
Q4 2016,1013.71
Q3 2016,886.62
Q2 2016,725.5
Q1 2016,646.55
Q4 2015,1065.79
Q3 2015,894.08
Q2 2015,765.71
Q1 2015,675.82
Q4 2014,1029.9
Q3 2014,884.95
Q2 2014,766.2
Q1 2014,595.8
Q4 2013,930.08
Q3 2013,806.83
Q2 2013,714.25
Q1 2013,606.9
Q4 2012,952.35
Q3 2012,811.31
Q2 2012,719.53
Q1 2012,613.53
