Characteristic,Fertility rates
European Union (EU-27),1.53
Georgia,2.02
France,1.86
Montenegro,1.77
Romania,1.77
Iceland,1.74
Sweden,1.71
Ireland,1.71
Czechia,1.71
Denmark,1.7
Estonia,1.66
Slovenia,1.61
Lithuania,1.61
Latvia,1.61
Bulgaria,1.58
Belgium,1.58
Netherlands,1.57
Slovakia,1.57
Hungary,1.55
Germany,1.54
Norway,1.53
Serbia,1.52
Liechtenstein,1.48
Switzerland,1.48
Croatia,1.47
Austria,1.46
Poland,1.44
Portugal,1.43
Finland,1.35
Greece,1.34
Luxembourg,1.34
Cyprus,1.33
Italy,1.27
Spain,1.23
Malta,1.14
Ukraine,1.14
