Characteristic,Reported property damage (in U.S. billion dollars)
1977,4.7
1978,4.5
1979,5.8
1980,6.3
1981,6.7
1982,6.4
1983,6.6
1984,6.7
1985,7.3
1986,6.7
1987,7.2
1988,8.4
1989,8.7
1990,7.8
1991,9.5
1992,8.3
1993,8.5
1994,8.2
1995,8.9
1996,9.4
1997,8.5
1998,8.6
1999,10.0
2000,11.2
2001 *,44.0
2002,10.3
2003,12.3
2004,9.8
2005,10.7
2006,11.3
2007,14.6
2008,15.5
2009,12.5
2010,11.6
2011,11.7
2012,12.4
2013,11.5
2014,11.6
2015**,14.3
2016***,10.6
2017****,23.0
2018*****,25.6
2019,14.8
