Characteristic,Number of employees
Norsk Sykepleierforbund,151046
Medtronic Norge AS,90000
Cbre AS,51050
Norsk Hydro ASA,36487
Equinor ASA,21400
Nokas AS,15304
Nordic Choice Hospitality Group AS,14846
Tallyman AS,14575
Eramet Norway AS,13097
Vygruppen AS,11484
Kongsberg Automotive ASA,10908
Norwegian Air Shuttle ASA,9383
DNB ASA,9304
Veidekke ASA,8387
Jotun A/S,7200
Odd Reitan Private Holding AS,5675
Reitangruppen AS,5675
Ferd JHA AS,4477
Norconsult Holding AS,3939
Aibel Holding I AS,3923
