Characteristic,Number of commited crimes
Burglary and robbery,507752
Fraud and counterfeiting,220695
Property damage incl. arson,196285
Threat and freedom violation crimes,183103
Alcohol and drug-related crimes,121890
Violent crimes,113489
Vehicle crime,101961
Traffic crimes,79460
Economical crimes,32984
Sex crimes,21074
Gun crimes,15475
Environmental crimes (animals and nature),9960
Criminally negligent manslaughter and negligent homicide,7629
Smuggling and customs crimes,5522
Other,48391
