Characteristic,Percentage of change compared to previous year
2025*,2.24%
2024*,2.6%
2023*,3.56%
2022*,4.04%
2021*,7%
2020*,-12.31%
2019,1.08%
2018,4.1%
2017,4.66%
2016,1.65%
2015,5.18%
2014,5%
2013,1.54%
2012,2.71%
2011,5.64%
2010,13.13%
2009,-13.08%
2008,-2.23%
2007,2.5%
2006,6.63%
2005,6.53%
2004,11.4%
2003,4.92%
2002,3.64%
2001,-2.8%
2000,12.89%
1999,11.3%
1998,11.69%
1997,13.47%
1996,8.69%
1995,8.01%
1994,11.93%
1993,8.65%
1992,7.01%
1991,-0.15%
1990,3.58%
