Characteristic,GDP in billion U.S. dollars
2026*,122363.46
2025*,116469.81
2024*,110882.23
2023*,105476.85
2022*,100104.69
2021*,93863.85
2020,84537.69
2019,87345.3
2018,85893.4
2017,80833.69
2016,76158.88
2015,74936.57
2014,79155.31
2013,77084.13
2012,74910.85
2011,73524.03
2010,66240.98
2009,60575.37
2008,63931.56
2007,58295.63
2006,51651.46
2005,47690.61
2004,44028.68
2003,39118.7
2002,34851.94
2001,33719.32
2000,33985.7
1999,32897.66
1998,31775.92
1997,31930.9
1996,32017.14
1995,31149.85
1994,27944.24
1993,25997.78
1992,25307.93
1991,24452.47
1990,23627.41
1989,20080.47
1988,19091.12
1987,16987.61
1986,14750.28
1985,12505.64
