Characteristic,Producer Price Index (2010=100)
Oct '20,56.8
Sept '20,58.6
Aug '20,64.5
July '20,62.6
June '20,57.8
May '20,52.1
April '20,44.7
Mar '20,64.4
Feb '20,94.6
Jan '20,104.1
Dec '19,111.7
Nov '19,109.4
Oct '19,100.5
Sept '19,103.1
Aug '19,97.3
July '19,99.3
June '19,100.5
May '19,110.1
April '19,107.2
Mar '19,100.3
Feb '19,99.8
Jan '19,95.3
Dec '18,93.6
Nov '18,102.8
Oct '18,122.9
Sept '18,120.4
Aug '18,109.2
July '18,110.2
June '18,107.4
May '18,110.5
April '18,105.7
Mar '18,97.4
Feb '18,97.5
Jan '18,104.0
