Characteristic,Number of subscribers
SQUEEZIE,13.8
Cyprien,13.4
NORMAN FAIT DES VIDÉOS,11.7
Rémi GAILLARD,6.93
Tibo InShape,6.56
CyprienGaming,6.48
Amixem,5.92
Mister V,5.31
Mcfly & Carlito,5.16
Le Rire Jaune,5.03
Natoo,4.94
Swan The Voice - Néo & Swan,4.39
IbraTV,4.33
SUP3R KONAR !,4.32
HugoPOSAY,4.28
Le Bled'Art,4.25
SEB,4.24
Monde des Titounis,3.85
ANDY,3.66
Le Woop,3.63
EnjoyPhoenix,3.61
Golden Moustache,3.58
GOTAGA,3.51
FastGoodCuisine,3.48
LaChaineDeJeremy,3.45
Dr Nozman,3.39
joueurdugrenier,3.35
Studio Bagel,3.34
VodKprod,3.22
Lolywood,3.16
