Characteristic,Net income/loss in million U.S. dollars
Q3 '10,-82
Q4 '10,30
Q1 '11,96
Q2 '11,-201
Q3 '11,-322
Q4 '11,151
Q1 '12,221
Q2 '12,-340
Q3 '12,-205
Q4 '12,400
Q1 '13,201
Q2 '13,-381
Q3 '13,-45
Q4 '13,323
Q1 '14,222
Q2 '14,-273
Q3 '14,-308
Q4 '14,367
Q1 '15,335
Q2 '15,3
Q3 '15,142
Q4 '15,395
Q1 '16,442
Q2 '16,-140
Q3 '16,-45
Q4 '16,899
Q1 '17,440
Q2 '17,-38
Q3 '17,-1
Q4 '17,566
Q1 '18,644
Q2 '18,-22
Q3' 18,-186
Q4 '18,607
Q1 '19,293
Q2 '19,255
Q3 '19,262
Q4 '19,209
Q1 '20,1421
Q2 '20,854
Q3 '20,346
Q4 '20,418
Q1 '21,365
Q2 '21,185
Q3 '21,211
Q4 '21,76
