NBA player,Number of assists
John Stockton,15806
Jason Kidd,12091
Steve Nash,10335
Mark Jackson,10334
Chris Paul,10275
Magic Johnson,10141
Oscar Robertson,9887
LeBron James,9696
Isiah Thomas,9061
Gary Payton,8966
Andre Miller,8524
Russell Westbrook,8061
Rod Strickland,7987
Rajon Rondo,7414
Maurice Cheeks,7392
Lenny Wilkens,7211
Terry Porter,7160
Tim Hardaway,7095
Tony Parker,7036
Bob Cousy,6955
Guy Rodgers,6917
Deron Williams,6819
Muggsy Bogues,6726
Kevin Johnson,6711
Derek Harper,6577
Nate Archibald,6476
Stephon Marbury,6471
John Lucas,6454
Reggie Theus,6453
Norm Nixon,6386
Kobe Bryant,6306
