Characteristic,Year-on-year change
Q1 '21,25%
Q4 '20,6%
Q3 '20,8%
Q2 '20,-1%
Q1 '20,-22%
Q4 '19,3%
Q3 '19,3%
Q2 '19,1%
Q1 '19,15%
Q4 '18,22%
Q3 '18,27%
Q2 '18,32%
Q1 '18,31%
Q4 '17,29%
Q3 '17,29%
Q2 '17,14.3%
Q1 '17,6.8%
Q4 '16,-2.6%
Q3 '16,-0.7%
Q2 '16,10.2%
Q1 '16,31.2%
Q4 '15,33.1%
Q3 '15,36%
Q2 '15,38.4%
Q1 '15,34%
Q4 '14,47.5%
Q3 '14,52%
Q2 '14,58.2%
Q1 '14,59.1%
Q4 '13,50.3%
Q3 '13,42.3%
Q2 '13,38.6%
Q1 '13,40%
Q4 '12,41.6%
Q3 '12,49.7%
Q2 '12,59.8%
Q1 '12,75%
Q4 '11,82.5%
Q3 '11,85.1%
Q2 '11,78.4%
Q1 '11,88.3%
Q4 '10,94.4%
Q3 '10,76.4%
Q2 '10,74.4%
Q1 '10,59.6%
