Characteristic,Number of passengers in thousands
Lo Wu Control Point,38496.46
Lok Ma Chau Spur Line Control Point,25310.1
Airport,24842.87
Shenzhen Bay Control Point,19231.93
Lok Ma Chau Control Point,13041.63
"Macau Ferry Terminal, by ferry",5088.69
China Ferry Terminal,1824.68
Express Rail Link West Kowloon Control Point,8447.72
Man Kam To Control Point,1931.05
Hong Kong-Zhuhai-Macao Birdge Control Point,8858.62
Hung Hom Control Point,983.89
Sha Tau Kok Control Point,1361.67
Kai Tak Cruise Terminal,798.41
Tuen Mun Ferry Terminal,260.56
Harbour Control,30.16
"Macau Ferry Terminal, by helicopter",11.24
River Trade Terminal,0.07
