Characteristic,Payroll in thousand U.S. dollars
Marco Fabian,2274.09
Alejandro Bedoya,1266.25
Jamiro  Monteiro,671.2
Sergio  Santos,668.5
Andrew  Wooten,595.83
Haris  Medunjanin,595.01
Andre  Blake,550.0
Kai  Wagner,360.15
Ilsinho,357.0
Kacper  Przybylko,277.0
Jack  Elliott,265.0
Raymon  Gaddis,190.0
Warren  Creavalle,175.3
Aurelien  Collin,175.0
Fafa  Picault,173.67
Joe  Bendik,144.0
Auston  Trusty,124.1
Jack  De Vries,120.56
Fabinho  Alves,120.0
Brenden  Aaronson,98.31
Mark  McKenzie,82.23
Derrick  Jones,80.9
Cory  Burke,79.72
Anthony  Fontana,78.68
Matt  Freese,77.65
Olivier  Mbaizo,70.88
RJ  Allen,70.25
Matthew  Real,57.23
Michee  Ngalina,56.25
