Event (date started),Insured losses in billion U.S. dollars
Hurricane Maria in the U.S. and the Caribbean (19 September),32.0
Hurricane Irma in the U.S. and the Caribbean (6 September),30.0
Hurricane Harvey in the U.S. (25 August),30.0
Tubbs wildfires in the U.S. (8 October),7.7
Atlas wildfires in the U.S. (8 October),2.7
"Hailstorm in Colorado, U.S. (8 May)",2.5
Hailstorm in the U.S. (26 March),2.0
Thomas wildfires in the U.S. (4 December),1.8
"Thunderstorms, tornadoes, hail in the U.S. (6 March)",1.6
"Hailstorm in Minnesota, U.S. (11 June)",1.5
