Characteristic,Revenue in billion U.S. dollars
Q3'19,3.3
Q2'19,3.81
Q1'19,4.17
Q4'18,4.02
Q3'18,3.26
Q2'18,3.47
Q1'18,3.76
Q4'17,3.92
Q3'17,3.17
Q2'17,3.26
Q1'17,3.34
Q4'16,3.52
Q3'16,3.08
Q2'16,3.29
Q1'16,3.59
Q4'15,3.59
Q3'15,3.26
Q2'15,3.22
Q1'15,3.5
Q4'14,3.68
Q3'14,3.37
Q2'14,3.19
Q1'14,3.57
Q4'13,3.57
Q3'13,3.3
Q2'13,3.37
Q1'13,4.04
Q4'12,3.7
Q3'12,3.27
Q2'12,3.33
Q1'12,3.92
Q4'11,3.61
Q3'11,3.37
Q2'11,3.59
Q1'11,3.51
Q4'10,3.9
Q3'10,3.3
Q2'10,3.33
Q1'10,3.53
