Characteristic,Number of viewers in thousands
April 2021,332.0
March 2021,248.0
February 2021,205.0
January 2021,99.47
December 2020,82.78
November 2020,71.76
October 2020,74.95
September 2020,81.84
August 2020,111.87
July 2020,126.67
June 2020,139.42
May 2020,134.16
April 2020,104.97
March 2020,75.52
February 2020,62.42
January 2020,57.29
December 2019,50.94
November 2019,46.08
October 2019,49.63
September 2019,54.82
August 2019,86.92
July 2019,84.26
June 2019,83.11
May 2019,100.43
April 2019,115.32
March 2019,82.93
February 2019,19.08
January 2019,16.32
December 2018,12.58
November 2018,13.66
October 2018,15.99
September 2018,18.28
August 2018,20.54
July 2018,21.88
June 2018,16.94
May 2018,15.68
April 2018,13.72
March 2018,14.02
February 2018,21.73
January 2018,17.4
