Characteristic,Import volume in billion U.S. dollars
2020,435.45
2019,451.65
2018,539.24
2017,505.16
2016,462.42
2015,483.2
2014,468.47
2013,440.43
2012,425.62
2011,399.37
2010,364.95
2009,296.37
2008,337.77
2007,321.44
2006,287.77
2005,243.47
2004,196.68
2003,152.44
2002,125.19
2001,102.28
2000,100.02
1999,81.79
1998,71.17
1997,62.56
1996,51.51
1995,45.54
1994,38.79
1993,31.54
1992,25.73
1991,18.97
1990,15.24
1989,11.99
1988,8.51
1987,6.29
1986,4.77
1985,3.86
