Characteristic,GDP in billion U.S. dollars
Brazil,1434.08
Mexico,1076.16
Argentina,388.28
Colombia,271.46
Chile,252.76
Peru,203.77
Ecuador,96.67
Puerto Rico,95.85
Dominican Republic,78.73
Guatemala,77.07
Costa Rica,61.45
Uruguay,55.71
Panama,52.94
Venezuela,47.26
Bolivia,39.38
Paraguay,35.88
El Salvador,24.61
Honduras,23.69
Trinidad and Tobago,21.53
Haiti,14.29
Jamaica,13.95
Nicaragua,12.15
Bahamas,11.25
Guyana,5.77
Barbados,4.37
Suriname,2.41
St. Lucia,1.69
Belize,1.65
Antigua and Barbuda,1.39
Grenada,1.04
St. Kitts and Nevis,0.85
St. Vincent and the Grenadines,0.79
Dominica,0.52
