Three week rolling averages,Obama,Romney
Oct 8 - Oct 28,47%,47%
Oct 1 - Oct 21,48%,47%
Sep 24 - Oct 14,49%,46%
Sep 17 - Oct 7,49%,45%
Sep 10 - Sep 30,48%,45%
Sep 3 - Sep 23,49%,45%
Aug 27 - Sep 16,48%,45%
Aug 20 - Sep 9,48%,45%
Aug 13 - Sep 2,46%,47%
Aug 6 - Aug 26,46%,46%
Jul 30 - Aug 19,46%,46%
Jul 23 - Aug 12,46%,46%
Jul 16 - Aug 5,46%,46%
Jul 9 - Jul 29,46%,46%
Jul 2 - Jul 22,46%,45%
Jun 25 - Jul 15,47%,45%
Jun 18 - Jul 8,47%,45%
Jun 11 - Jul 1,46%,45%
Jun 4 - Jun 24,45%,46%
May 28 - Jun 17,46%,46%
