Characteristic,Market share
Dec 20,5.49%
Nov 20,6.88%
Oct 20,5.88%
Sep 20,5.98%
Aug 20,5.82%
Jul 20,5.59%
Jun 20,6.26%
May 20,7.33%
Apr 20,11.09%
Mar 20,4.9%
Feb 20,6.45%
Jan 20,6.19%
Dec 19,4.17%
Nov 19,6.63%
Oct 19,4.19%
Sep 19,7.98%
Aug 19,5.25%
Jul 19,6.61%
Jun 19,6.96%
May 19,7.33%
Apr 19,6.61%
Mar 19,8.25%
Feb 19,5.98%
Jan 19,7.61%
Dec 18,8.78%
Nov 18,7.29%
Oct 18,6.14%
Sep 18,8.51%
Aug 18,5.4%
Jul 18,7.19%
Jun 18,7.75%
May 18,7.26%
Apr 18,6.68%
Mar 18,7.81%
Feb 18,6.01%
Jan 18,7.73%
Dec 17,8.72%
Nov 17,6.32%
Oct 17,6.16%
Sep 17,7.29%
Aug 17,8.74%
Jul 17,7.12%
Jun 17,8.62%
May 17,7.54%
Apr 17,7.06%
Mar 17,8.28%
Feb 17,7.58%
Jan 17,7.95%
