Characteristic,United States,Worldwide
2020,8822399,77621582
2019,10880019,91786861
2018,11297911,96869020
2017,11189985,96746802
2016,12180301,95057929
2015,12105988,90843939
2014,11660699,89747430
2013,11066432,87507027
2012,10332626,84208200
2011,8661535,79880028
2010,7762544,77629127
2009,5731397,61791868
2008,8693541,70520493
2007,10780729,73266061
2006,11263986,69222975
2005,11946653,66482439
2004,11989387,64496220
2003,12114971,60663225
2002,12279582,58994318
2001,11424689,56304925
2000,12799857,58374162
1999,13024978,56258892
