Characteristic,Number of IPV cases
"Bogotá, D.C.",12063
Antioquia,5703
Cundinamarca,4109
Valle del Cauca,3808
Atlántico,2204
Santander,2065
Meta,2010
Tolima,1678
Boyacá,1341
Bolívar,1307
Huila,1272
Norte de Santander,1203
Nariño,1111
Magdalena,1062
Cauca,1057
Casanare,860
Risaralda,824
Cesar,769
Quindio,633
Sucre,630
Córdoba,606
Caldas,537
Arauca,482
La Guajira,385
Putumayo,341
Caquetá,317
Chocó,279
"San Andres, Providencia & Santa Catalina",131
Amazonas,120
Guainía,57
Guaviare,36
Vaupés,24
No information,2
