Characteristic,Gross domestic product in billion U.S. dollars
2026*,90.82
2025*,84.84
2024*,79.24
2023*,74.34
2022*,70.07
2021*,65.92
2020*,63.24
2019,60.81
2018,56.7
2017,53.23
2016,49.77
2015,47.38
2014,50.0
2013,45.68
2012,39.65
2011,34.07
2010,31.53
2009,28.99
2008,27.76
2007,21.81
2006,18.88
2005,17.17
2004,15.58
2003,14.16
2002,13.12
2001,12.61
2000,12.37
1999,11.78
1998,11.48
1997,9.34
1996,7.89
1995,6.38
1994,5.48
1993,5.17
1992,5.59
1991,6.02
1990,5.17
1989,6.44
1988,7.47
1987,7.82
1986,15.87
