Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",124.27
Professional and business services,96.7
"Educational services, health care, and social assistance",83.04
Manufacturing,83.85
Government and government enterprises,62.99
Information,57.24
Wholesale trade,37.22
Retail trade,36.69
Transportation and warehousing,23.23
"Mining, quarrying, and oil and gas extraction",23.3
Construction,25.36
"Arts, entertainment, recreation, accommodation, and food services",16.27
Utilities,11.24
"Agriculture, forestry, fishing, and hunting",4.2
