Characteristic,Rate
Pet and animal services,22.1%
Architecture and construction,19.9%
IT services,18.8%
Entertainment,18.3%
"Food, beverage abd agriculture",18.3%
"Leisure, travel and tourism",18%
Science and biotechnology,17.5%
Religious,17.4%
Arts and crafts,17.1%
Legal services,16.5%
Home,16%
Healthcare,15.9%
Transportation,15.5%
Real estate,15.3%
"Sports, fitness and recreation",15.1%
"Journalism, publishing and printing",13.9%
"Marketing, advertising and PR",13%
Education,12.8%
Business supplies and services,12.1%
Government and politics,11.9%
"Restaurant, bar and night club",11.8%
Recruitment and staffing,10.5%
Fashion and beauty,10.5%
"Computers, electronics and software",8%
Nutrition and pharmaceuticals,8%
Party lists,7.1%
Accounting and finance,4.9%
Other,23.4%
Hobbies,4.7%
