Characteristic,Small firms,Medium and large firms
Israel,67.1%,32.9%
Austria,60.9%,39.1%
Estonia,49.8%,50.2%
Portugal,41.3%,58.7%
Slovak Republic,39.3%,60.7%
Spain,38.3%,61.7%
Norway,35.9%,64.1%
Germany **,31.2%,68.8%
Finland,29.6%,70.4%
Czech Republic,25.6%,74.4%
Ireland,25.2%,74.8%
Sweden,18%,82%
Italy,16.4%,83.6%
France,15.6%,84.4%
South Africa,14.4%,85.6%
Poland,11.6%,88.4%
Korea,9.5%,90.5%
Switzerland,9.1%,90.9%
Denmark,8.9%,91.1%
Slovenia,8.6%,91.4%
Netherlands,7.9%,92.1%
United States,6.8%,93.2%
Belgium,5%,95%
Mexico,3.9%,96.1%
