Characteristic,Units sold
Dec '20,502
Nov '20,535
Oct '20,568
Sep '20,932
Aug '20,655
Jul '20,1171
Jun '20,1113
May '20,348
Apr '20,91
Mar '20,792
Feb '20,262
Jan '20,366
Dec '19,286
Nov '19,358
Oct '19,593
Sep '19,950
Aug '19,566
Jul '19,843
Jun '19,870
May '19,816
Apr '19,726
Mar '19,1069
Feb '19,248
Jan '19,368
Dec '18,278
Nov '18,354
Oct '18,494
Sep '18,744
Aug '18,588
Jul '18,804
Jun '18,1090
May '18,1086
Apr '18,863
Mar '18,1320
Feb '18,314
Jan '18,347
Dec '17,245
Nov '17,429
Oct '17,644
Sep '17,847
Aug '17,592
Jul '17,800
Jun '17,1019
May '17,952
Apr '17,857
Mar '17,1079
Feb '17,230
Jan '17,340
