Characteristic,Budget authority in million U.S. dollars
U.S. Customs and Border Protection,18209.97
Federal Emergency Management Agency,14533.08
U.S. Coast Guard,12261.14
U.S. Immigration and Customs Enforcement,10416.16
Transportation Security Administration,8241.79
U.S. Citizenship and Immigration Services,4075.09
Management Directorate,3350.39
Cybersecurity and Infrastructure Security Agency,1757.8
Science and Technology Directorate,643.73
Countering Weapons of Mass Destruction,377.16
Federal Law Enforcement Training Centers,331.48
Analysis and Operations,312.64
Office of Inspector General,177.78
Office of the Secretary and Executive Management,150.36
Domestic Nuclear Detection Office,-
