Characteristic,Index score (100 point scale)
SSA Extra Help with Medicare Prescription Drug Plan Costs socialsecurity.gov/i1020,92
SSA Retirement Estimator ssa.gov/estimator,91
SSA - my Social Security ssa.gov/myaccount,90
OPM Office of Personnel Management: Retirement Services servicesonline.opm.gov,88
TREASURY Electronic Federal Tax Payment System eftps.com,88
DHS U.S. Citizenship and Immigration Services Resource Center uscis.gov/portal/site/uscis/citizenship,87
SSA SSA iClaim – Disability ssa.gov/applyfordisability,85
NASA NASA main website nasa.gov,85
"HHS National Heart, Lung, and Blood Institute nhlbi.nih.gov",84
DHS U.S. Citizenship and Immigration Services Español uscis.gov/portal/site/uscis-es,84
HHS National Institute of Diabetes and Digestive and Kidney Diseases niddk.nih.gov,83
SEC U.S. Securities and Exchange Commission investor.gov,82
FTC FTC Complaint Assistant website ftccomplaintassistant.gov,82
HHS AIDSinfo aidsinfo.nih.gov,82
HHS Centers for Disease Control and Prevention cdc.gov,80
