Characteristic,Gross domestic product in billion U.S. dollars
2026*,16.13
2025*,14.92
2024*,13.62
2023*,12.43
2022*,11.29
2021*,10.63
2020*,10.37
2019*,10.12
2018,9.63
2017,9.25
2016,8.73
2015,8.59
2014,8.27
2013,7.85
2012,7.69
2011,6.91
2010,6.15
2009,5.69
2008,5.2
2007,4.08
2006,3.33
2005,2.59
2004,2.1
2003,1.85
2002,1.67
2001,1.68
2000,1.72
1999,1.8
1998,1.93
1997,1.81
1996,1.34
1995,1.24
1994,1.2
1993,1.88
1992,1.95
1991,1.84
1990,2.49
1989,2.61
1988,2.5
1987,2.33
1986,2.1
