Characteristic,Number of inhabitants in millions
Brazil,211.05
Mexico,127.58
Colombia,50.34
Argentina,44.9
Peru,32.51
Venezuela,28.52
Chile,18.95
Guatemala,17.58
Ecuador,17.37
Bolivia,11.51
Cuba,11.33
Haiti,11.26
Dominican Republic,10.74
Honduras,9.75
Paraguay,7.05
Nicaragua,6.55
El Salvador,6.45
Costa Rica,5.05
Panama,4.25
Uruguay,3.46
Puerto Rico,3.19
Jamaica,2.95
Trinidad and Tobago,1.4
Guyana,0.78
Suriname,0.58
Belize,0.39
Bahamas,0.39
Barbados,0.29
Saint Lucia,0.18
Grenada,0.11
Saint Vincentand the Grenadines,0.11
Antigua and Barbuda,0.1
Dominica,0.07
Saint Kitts and Nevis,0.05
