Entity,Definitely/probably would NOT,Definitely/probably would (or already have)
Makes significantly more money than them,3,97
Makes significantly e money than them,3,97
Is a Democrat,11,88
Makes significantly less money than them,14,86
Is of a different race or ethnicity,15,85
Is sooa different religion,23,77
Voted for Hillary Clinton,26,73
Is a Re publican,27,72
Is raising children from another relationship Is 10 years younger than them*,36,27
Is 10 years older than them,38,61
Voted for Donald Trump,47,52
Has a significant amount of debt,49,50
Lives far away,51,49
