Characteristic,Number of persons in thousands
Men with a migration background (s. str.),10855
Among these: men with own migration experience,2438
Among these: men without own migration experience,3073
Among these: foreign men with own migration experience,4490
Among these: foreign men without own migration experience,854
Women with a migration background (s. str.),10391
Among these: women with own migration experience,2687
Among these: women without own migration experience,2927
Among these: foreign women with own migration experience,4066
Among these: foreign women without own migration experience,711
