Characteristic,Market share
August 2020,0.33%
July 2020,0.48%
June 2020,0.51%
May 2020,0.5%
April 2020,0.56%
March 2020,0.48%
February 2020,0.51%
January 2020,0.6%
December 2019,0.58%
November 2019,0.58%
October 2019,1.9%
September 2019,0.84%
August 2019,0.96%
July 2019,0.89%
June 2019,1.11%
May 2019,1.32%
April 2019,1.51%
March 2019,1.62%
February 2019,2%
January 2019,3.5%
December 2018,3.56%
November 2018,3.3%
October 2018,2.03%
September 2018,1.91%
August 2018,1.66%
July 2018,1.41%
June 2018,1.68%
May 2018,1.49%
April 2018,1.88%
March 2018,1.56%
February 2018,1.25%
January 2018,1.32%
December 2017,1.6%
November 2017,1.79%
October 2017,2.27%
September 2017,2.57%
