Characteristic,Trade balance value in million euros
Aug 2020,348
Jul 2020,3003
Jun 2020,1552
May 2020,1505
Apr 2020,-977
Mar 2020,602
Feb 2020,1018
Jan 2020,-394
Dec 2019,-1799
Nov 2019,-466
Oct 2019,607
Sep 2019,-99
Aug 2019,-442
Jul 2019,2087
Jun 2019,706
May 2019,1051
Apr 2019,-77
Mar 2019,-121
Feb 2019,-182
Jan 2019,-200
Dec 2018,-2153
Nov 2018,-540
Oct 2018,-166
Sep 2018,209
Aug 2018,-11
Jul 2018,1477
Jun 2018,652
May 2018,181
Apr 2018,348
Mar 2018,-27
Feb 2018,414
Jan 2018,-554
Dec 2017,-1756
Nov 2017,-995
Oct 2017,-417
Sep 2017,747
Aug 2017,425
Jul 2017,1872
Jun 2017,1138
May 2017,1681
Apr 2017,1129
Mar 2017,1074
Feb 2017,360
Jan 2017,699
