Characteristic,Costs per day (in U.S. dollars)
Geneva,559
Oslo,544
Tokyo,542
Stavanger,541
New York,537
Stockholm,525
Zurich,519
Moscow,509
Hong Kong,504
Paris,499
Sydney,497
Muscat,493
Riyadh,479
London,476
Copenhagen,463
Washington D.C.,463
Basel,462
Singapore,458
Osaka-Kobe,458
Doha,457
Kuwait,448
Melbourne,442
Brussels,437
Frankfurt,434
Amsterdam,428
Milan,420
Helsinki,416
Boston,415
Rome,411
San Francisco,409
Tel Aviv,407
Kiev,407
Caracas,406
"White Plains, NY",404
Rio De Janeiro,401
