Characteristic,Endowment (in million U.S. dollars)
"Metropolitan Museum of Art, New York",2696.75
"Museum of Fine Arts, Houston",1011.09
"Smithsonian Institution, Washington D.C.",971.2
Art Institute of Chicago,837.8
"Colonial Williamsburg Foundation, Williamsburg",709.07
"Huntington Library, Art Collections and Botanical Gardens, San Marino",414.73
Boston Symphony Orchestra,387.37
Philadelphia Museum of Art,363.01
Indianapolis Museum of Art,350.7
"Nelson-Atkins Museum of Art, Kansas City",292.97
