Characteristic,Gross domestic product in billion U.S. dollars
2026*,26.57
2025*,25.59
2024*,24.61
2023*,23.68
2022*,22.64
2021*,22.43
2020*,14.29
2019,14.33
2018,15.97
2017,14.21
2016,13.73
2015,8.72
2014,8.78
2013,8.45
2012,7.89
2011,7.52
2010,6.62
2009,6.59
2008,6.55
2007,5.89
2006,4.75
2005,4.31
2004,3.54
2003,2.98
2002,3.48
2001,3.57
2000,3.95
1999,4.15
1998,3.72
1997,3.34
1996,2.9
1995,2.81
1994,1.77
1993,0.64
1992,0.53
1991,0.89
1990,0.99
1989,0.78
1988,0.84
1987,1.28
1986,2.6
