Characteristic,Payroll in thousand U.S. dollars
Maxi Moralez,2000.0
Alexander Ring,945.0
Jesus Medina,870.83
Heber Araujo dos Santos,788.75
Alexander Callens,664.0
Maxime Chanot,650.0
Anton Tinnerholm,546.8
Alexandru Mitrita,500.0
Ronald Matarrita,420.0
Sean Johnson,400.0
Ebenezer Ofori,400.0
Ismael Tajouri,380.5
Gary  Mackay-Steven,274.81
Valentin Castellanos,274.81
Ben  Sweat,200.0
Keaton Parks,165.0
Eric  Miller,124.42
James  Sands,105.0
Brad  Stuver,100.0
Juan Pablo  Torres,84.75
Joe  Scally,78.07
Sebastien  Ibeagha,74.25
Tony  Rocha,72.35
Daniel  Bedoya,70.25
Jeff  Caldwell,57.23
Luis  Barraza,56.25
Justin  Haak,56.25
Abdi  Mohamed,56.25
