Characteristic,Asia Pacific,North America,Europe,Middle East,Commonwealth of Independent States,Africa,South and Central America
2019,17269.5,5975.9,4110.8,2164.1,2085.3,1308.5,1254.9
2018,16863.3,6149.0,4246.1,2106.2,2095.7,1284.5,1263.1
2017,16357.1,6009.9,4305.4,2077.3,1989.3,1250.9,1289.4
2016,16022.1,6049.0,4262.5,2066.3,1996.7,1231.1,1308.4
2015,15894.1,6150.8,4209.5,2002.1,1989.0,1200.9,1340.8
2014,15802.6,6267.7,4205.4,1954.4,2028.6,1198.0,1348.0
2013,15666.9,6266.5,4437.9,1918.9,2016.5,1162.2,1326.6
2012,15310.6,6090.3,4544.0,1854.0,2063.1,1136.9,1274.7
2011,14876.6,6343.3,4603.7,1784.6,2035.9,1102.6,1226.7
2010,13993.5,6458.4,4681.2,1738.5,1939.7,1101.1,1173.0
2009,13244.5,6226.4,4573.5,1658.0,1876.1,1070.2,1096.5
