Characteristic,Number of medtech IPOs
July 2019 to June 2020,14.0
July 2018 to June 2019,16.0
July 2017 to June 2018,28.0
July 2016 to June 2017,21.0
July 2015 to June 2016,16.0
July 2014 to June 2015,44.0
July 2013 to June 2014,34.0
July 2008 to June 2013 average,12.6
July 2012 to June 2013,15.0
July 2011 to June 2012,15.0
July 2010 to June 2011,20.0
July 2009 to June 2010,8.0
July 2008 to June 2009,5.0
July 2005 to June 2008 average,30.7
July 2007 to June 2008,26.0
July 2006 to June 2007,34.0
July 2005 to June 2006,32.0
