Characteristic,Average cost of rent in U.S. dollars
Paris,2853.5
London,2547.8
Luxembourg,2479.8
Geneva,2340.0
Dublin,2318.0
Zurich,2100.7
Helsinki,2050.6
Oslo,2039.4
Milan,1882.9
Copenhagen,1867.0
Munich,1837.6
Amsterdam,1712.7
Stockholm,1665.6
Frankfurt,1597.6
Moscow,1553.1
Brussels,1540.8
Barcelona,1501.6
Rome,1398.0
Madrid,1251.7
Vienna,1244.0
Lisbon,1233.5
Berlin,1159.5
Athens,1152.3
Ljubljana,1031.0
Lyon,992.1
Prague,883.0
Riga,862.4
Warsaw,845.7
Kiev,815.5
Bratislava,801.8
Nicosia,801.8
Tallinn,793.7
Vilnius,728.7
Budapest,693.0
Istanbul,600.2
Bucharest,530.7
Sofia,521.4
