Characteristic,Number of workers in millions
2019,141.74
2018,140.1
2017,137.89
2016,136.1
2015,133.74
2014,131.43
2013,129.11
2012,127.58
2011,125.19
2010,124.07
2009,124.49
2008,129.38
2007,129.77
2006,128.24
2005,125.89
2004,123.55
2003,122.36
2002,121.83
2001,122.23
2000,122.09
1999,118.96
1998,116.73
1997,114.53
1996,111.96
1995,110.04
1994,107.99
1993,106.1
1992,104.67
1991,103.72
1990,104.88
1989,103.48
1988,101.41
1987,99.3
1986,96.9
1985,94.52
1984,92.19
1983,88.29
1982,87.37
1981,88.52
1980,87.64
1979,87.53
