Characteristic,Inflation rate
2026*,2.01%
2025*,2.02%
2024*,2.08%
2023*,2.25%
2022*,2%
2021*,1.69%
2020,0.72%
2019,1.95%
2018,2.27%
2017,1.6%
2016,1.43%
2015,1.13%
2014,1.91%
2013,0.94%
2012,1.52%
2011,2.91%
2010,1.78%
2009,0.3%
2008,2.37%
2007,2.14%
2006,2.02%
2005,2.21%
2004,1.86%
2003,2.76%
2002,2.26%
2001,2.53%
2000,2.72%
1999,1.74%
1998,1%
1997,1.62%
1996,1.57%
1995,2.15%
1994,0.17%
1993,1.87%
1992,1.49%
1991,5.63%
1990,4.78%
1989,4.98%
1988,4.03%
1987,4.37%
1986,4.17%
