Characteristic,Turnover in billion NOK
Viessmann Refrigeration Systems AS,524.15
Norsk Tjenestemannslag,196.82
Hikoki Power Tools Norway AS,189.15
Norsk Hydro ASA,151.01
Telenor ASA,114.41
Helse Sør-Øst RHF,86.77
Reitangruppen AS,76.6
Odd Reitan Private Holding AS,76.6
Equinor ASA,64.36
Rema 1000 AS,57.21
Coop Norge SA,50.61
Aker ASA,48.76
The Resource Group Trg AS,48.71
Statkraft AS,47.93
Dnb Livsforsikring AS,44.65
Orkla ASA,43.99
Norwegian Air Shuttle ASA,43.52
Norsk Tipping AS,40.28
Atea ASA,36.66
Veidekke ASA,36.57
