Entity,Very confident,Somewhat confident,Not too confident,Not at all confident,Don't know
The online advertisers who bsites visit place ads on we you,6.0,23,53.0,13,0.0
The social media sites you use,10.0,24,45.0,18,0.0
The online video sites you puse,10.0,24,42.0,19,0.0
Your search engine provider(s),14.0,25,nan,15,0.0
Compa nies or retailers woudd with business,22.0,28,33.0,10,0.0
Your cable TV company,5.0,23,24.0,29,16.0
Your email provider(s),3.0,26,26.0,30,nan
Your ca Ellular telephone company,5.0,26,25.0,31,1.1
Your landline telephone company,nan,25,21.0,29,15.0
Governmenta gencies,nan,25,23.0,31,11.0
Your credit card companies,nan,29,21.0,25,12.0
