Characteristic,Number of podium finishes
"Hamilton , Lewis",165
"Schumacher , Michael",155
"Vettel , Sebastian",121
"Cheers , Alain",106
"Raikkonen , Kimi",103
"Alonso , Fernando",97
"Senna , Ayrton",80
"Barrichello , Rubens",68
"Coulthard , David",62
"Piquet , Nelson",60
"Mansell , Nigel",59
"Rosberg , Nico",57
"Bottas , Valtteri",56
"Lauda , Niki",54
"Hakkinen , Mika",51
"Button , Jenson",50
"Berger , Gerhard",48
"Reutemann , Carlos",45
"Stewart , Jackie",43
"Hill , Damon",42
"Verstappen , Max",42
"Webber , Mark",42
"Massa , Felipe",41
"Patrese , Riccardo",37
"Fittipaldi , Emerson",35
