Characteristic,Times Higher Education Score
University of Oxford,95.6
Stanford University,94.9
Harvard University,94.8
California Institute of Technology,94.5
Massachusetts Institute of Technology,94.4
University of Cambridge,94.0
"University of California, Berkeley",92.2
Yale University,91.6
Princeton University,91.5
University of Chicago,90.3
Imperial College of London,89.4
Johns Hopkins University,89.2
University of Pennsylvania,88.9
ETH Zurich,87.9
"University of California, Los Angeles",87.1
UCL,86.9
Columbia University,86.8
University of Toronto,86.0
Cornell University,85.3
Duke University,84.8
Tsinghua University,84.8
University of Michigan - Ann Arbor,84.0
Peking University,83.9
Northwestern University,83.6
National University of Singapore,83.5
