Characteristic,GDP in million chained 2012 Canadian dollars
"Mining, quarrying, and oil and gas extraction",87881.1
Real estate and rental and leasing,34822.9
Construction,25207.8
Manufacturing,24969.7
Health care and social assistance,19238.6
"Professional, scientific and technical services",16523.0
Transportation and warehousing,16027.4
Public administration,15537.0
Wholesale trade,14110.1
Retail trade,13647.3
Finance and insurance,13144.3
Educational services,12463.3
"Administrative and support, waste management and remediation services",8331.4
Information and cultural industries,7515.8
Accommodation and food services,6919.4
Other services (except public administration),6356.1
"Agriculture, forestry, fishing and hunting",6216.6
Utilities,4785.7
"Arts, entertainment and recreation",1804.9
Management of companies and enterprises,1652.3
