Industry,Percentage of GDP
"Finance, insurance, real estate, rental, and leasing",22.3%
Professional and business services,12.8%
Government,12.6%
Manufacturing,10.8%
"Educational services, health care, and social assistance",8.6%
Wholesale trade,5.8%
Retail trade,5.7%
Information,5.5%
"Arts, entertainment, recreation, accommodation, and food services",3.2%
Construction,4.3%
Transportation and warehousing,2.8%
"Other services, except government",2%
Utilities,1.6%
Mining,0.9%
"Agriculture, forestry, fishing, and hunting",0.8%
