Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",564.03
Professional and business services,387.96
Information,340.61
Manufacturing,312.05
Government and government enterprises,283.56
"Educational services, health care, and social assistance",193.31
Retail trade,143.28
Wholesale trade,138.78
Construction,86.93
"Arts, entertainment, recreation, accommodation, and food services",80.12
Transportation and warehousing,74.97
"Agriculture, forestry, fishing, and hunting",56.28
Utilities,36.71
"Mining, quarrying, and oil and gas extraction",13.42
