Characteristic,Gross domestic product in billion U.S. dollars
2026*,15.7
2025*,15.12
2024*,14.6
2023*,14.08
2022*,13.39
2021*,12.21
2020*,11.4
2019*,14.05
2018,14.18
2017,13.26
2016,12.23
2015,11.69
2014,12.8
2013,12.13
2012,11.67
2011,11.52
2010,10.0
2009,9.13
2008,9.99
2007,8.15
2006,7.03
2005,6.78
2004,6.87
2003,6.07
2002,5.06
2001,4.82
2000,4.87
1999,4.54
1998,4.3
1997,4.25
1996,4.53
1995,4.38
1994,3.84
1993,3.46
1992,3.35
1991,2.98
1990,2.71
1989,2.26
1988,2.2
1987,1.89
1986,1.5
