Characteristic,Inflation rate compared to previous year
2026*,1.8%
2025*,1.55%
2024*,1.2%
2023*,0.82%
2022*,1.16%
2021*,2.86%
2020,-2.07%
2019,-1.93%
2018,3.07%
2017,1.97%
2016,1.62%
2015,4.07%
2014,2.35%
2013,1.1%
2012,0.66%
2011,0.88%
2010,0.88%
2009,1.56%
2008,12.27%
2007,11.13%
2006,9.29%
2005,6.2%
2004,5.04%
2003,3.12%
2002,2.92%
2001,2.8%
2000,1.35%
1999,2.1%
1998,1.99%
1997,2.97%
1996,2.98%
1995,4.33%
1994,5.7%
1993,5.27%
1992,6.38%
1991,3.4%
1990,0.6%
1989,2.79%
1988,5%
1987,5.5%
1986,5.44%
